primaryName,AverageVotes
"Pradeep RishiRaj",5983.5000
"Adam Ellis",1416.0000
"Dileep Mishra",6156.0000
"Alys Murray",703.2500
"Crystal S. San Miguel",1514.5000
"Shahruddin Dali",1650.0000
"Bhat Pavan",763.0000
"Daphne Benedis-Grab",1198.0000
"Suzanne Nelson",1301.0000
"Jenny Meyerhoff",1044.0000
"Kate Birdsall",721.0000
"Alan Miller",1758.0000
"Joseph Beam",1758.0000
"Chris Harris",1758.0000
"Jeremy Zimmerman",46092.0000
"Jayanth Panuganti",3311.0000
"T. Prakash",7144.0000
"Kevin Major",1357.0000
"Terri Reed",1774.0000
"Mohana Krishna",1091.0000
"Miriam Bavly",755.0000
"Avinash Sampath",4989.0000
Kannan,9563.0000
"Meltem Çitci",751.0000
"Jason Rice",2618.0000
"John Rabe",6657.0000
"Jithin K. Jose",14244.0000
"Emily Burns",653.0000
"Tomasz Klimala",33686.6667
Poomani,32150.0000
"Sofia Andrukhovych",704.0000
"Prasoon Sukumaran",901.0000
SimpleMan,657.7500
"Pooja Tolani",50560.0000
Bululufu,896.0000
"Wang Ang",759.5000
"Vivekanand Kalaivanan",1481.0000
"Brigit Stacey",1479.5000
"Neil Spring",1035.0000
"Sunayana Dutta",1711.0000
"Hanasaki Kino",1779.0000
"Teja R.",4372.0000
"Karen Rose Smith",963.6667
"Jingjing Shen",34897.0000
"Noora Makhdoom",942.0000
"Renji Ooki",7362.0000
"Phanindra Bikkina",1294.0000
"Parasuram Srinivas",1294.0000
"Kiran Kumar",2411.0000
"Barbara Hinske",973.5000
"Sukorno Shahed Dhiman",6054.0000
"Benjamin Lane",892.0000
"Venu O.V.",1114.0000
"Kiran Lal M.",1114.0000
"Anuraj O.B.",667.0000
"Padmavathi Visweswar",6986.5000
"Abhayakumar K.",1220.2000
"Anil Kurian",723.3333
"Gopan Chidambaran",1180.3333
"Geo P.V.",1021.0000
"Xiang Li",983.0000
"Amith Mohan Rajeshwari",1047.0000
"Suresh Kumar Raveendran",1047.0000
"Vijesh Thottingal",1047.0000
"Dinis Santos",796.0000
"Ricardo Hernández Durón",812.0000
"Timon Singh",681.0000
"Philip R. Craig",873.5000
"Chandran Pachamuthu",10371.0000
"S. Krishna",5910.0000
"Narra Praveen",5763.0000
"Tan Yuli",991.0000
"Bon-han Gu",2338.0000
"Yoon-Seup Jung",2338.0000
"Yoon-suk Chae",2338.0000
"Danny Capuchin",978.0000
"Charlie Bryant",9865.0000
"Ratapong Pinyosophon",757.0000
Asg,831.0000
"Joeeta Sengupta",937.0000
"Kevin Salwen",94543.0000
"Liang Su",1958.0000
"Twinkle Agarwal",704.0000
"Elísabet Benavent",2607.0000
"Muhammad Al Muhammadi",1365.0000
"Puneet Chadha",2525.5000
"Tilly Tennant",642.0000
"Thomas Savage",187672.0000
"Tom Rose",20288.0000
"Hossein Hassani",1407.0000
"Manoj Rajan Tripathi",2314.0000
"Ji-Sun An",10818.0000
"Simon A. Arciaga",808.0000
"Caro Carson",1160.0000
Anusha,1452.0000
"Thomas Friedrich",830.0000
"A.K. Small",2723.0000
"Mehrdad Kouroshniya",2199.0000
"C.E. Feiling",1118.0000
"William Ross",1334.0000
"Lisandro Sanchez",7365.0000
"Adnan Yildirim",7787.0000
"Ugur Saatci",7787.0000
"Özlem Lale",7787.0000
"Raden Ahmad Kosasih",1141.0000
"Natsuki Kizu",2217.0000
"Tiit Aleksejev",1089.0000
"Evgeniy Kazachkov",664.5000
"Sumit Giri",1042.5000
"Bojun Zhao",1834.0000
"Kyung-min Bae",1448.0000
"Mi-Yeong Kim",3204.0000
"Mike Spreter",1528.0000
"Dimosthenis Papamarkos",1141.5000
"Kin-Hung Chan",1006.2857
ManikandanPriya,2557.0000
"Richard H. Best",910.0000
"Earl Gallaher",910.0000
"George Murray",910.0000
"R.A. Spruance",910.0000
"Vijay Eshwar",760.0000
"Jang-ho Bang",1050.0000
"Byeong-Chae Seo",1050.0000
"Yoon-sin Je",1050.0000
"Karthik Rapolu",1503.0000
"Xavier Parmentier",1716.0000
"Sophie Le Callennec",1716.0000
"Gerald Mamahit",1161.5000
"Nayanika Mahtani",9627.0000
"Rakesh Jadhav",924.0000
"Benazir Ali Fida",22786.0000
"Gi-Young Seong",939.0000
"Amina Grenci",1157.5000
"Michael Beard",1946.0000
"Jung-Ryeol Sin",1970.0000
"R.P. Bala",14244.0000
"Hani Kadour",5538.5000
"Aleksandr Kagarmanov",1408.0000
"H.B. Johannesson",3007.0000
"Vasundhara Sable",724.0000
"Shubhodeep Pal",5924.0000
"Aleksey Ilyushkin",702.0000
"Pawel Rzewuski",1322.0000
"Luke Goebel",10467.0000
"Sri Sai Durga",1877.0000
"Molly Davies",1366.0000
"Se-Young Lee",755.0000
"Yoon-Hyung Lee",755.0000
"Joo-Yeon Hwang",755.0000
"Cenap Güven",3393.0000
"Connor Brashier",2179.0000
"Sarghi Barring",849.0000
"Gourahari Das",1363.0000
"Fernando León González",252113.0000
"Randeep Chahal",1122.0000
"Marie Bostwick",1073.0000
"Ha-Yong Jung",2094.6667
"Bibhas Das",715.0000
"Sarah Wise",1610.0000
"Alexey Salnikov",2852.0000
Fabcaro,1211.0000
"Ravi Shankaran",4036.3333
"Sergio De La Pava",2806.0000
"Xuetao Shuang",1699.0000
"Even Jian",3078.0000
"Svyatoslav Rybas",704.0000
"Wen Chang",788.0000
"Yu-hui Chen",635.0000
"Greg Tocchini",12229.0000
"Gianina Carbunariu",692.0000
"Venkat Naresh Reddy",2336.0000
"Samantha Lienhard",4653.0000
"Lin Yang",767.0000
"Keisuke Sone",5299.0000
"Lindsay Dickens",785.0000
"Vanity Vercetti",1740.6667
"Paul La Farge",3730.0000
"Zi Ling",1562.0000
"Tatiana Mereñuk",964.0000
"Connor Wright",832.0000
"Sonja Massie",1044.0000
"Luca Fazzo",6804.0000
"Atul Kumar",2463.5000
Varma,694.0000
"Gopal Krishna",694.0000
"Anju Patel",1602.0000
"Nan Chen",11966.0000
"Man-Tsun Lo",1090.0000
"Harik Krishna",3843.0000
"Sandra García Nieto",833.0000
"Son Won-Pyeong",2070.0000
"Sven Stricker",933.0000
"Devadath Shaji",6272.5000
"Bill Lawrence",5122.5000
"Geum-San Jo",1139.0000
"John Brandon",13730.0000
"Erika Ellis",868.0000
"Neel Mani Kant",765.0000
"Qingshui Shi",1119.0000
"Anju Jamwal",2537.0000
"Pawel Rymarz",1914.0000
"Tim Ecott",3104.0000
"Hannah Mowery",3034.0000
"Salvador Victori",1258.0000
"Liu Bayin",963.0000
"Shanoor Mirza",22722.5000
"Angel Gardner",1202.0000
"Tobit Chirayath",714.0000
"Binulal Unni",1316.0000
"Vinoy Thomas",2865.0000
"Jong-kyu Yang",3479.0000
"Hwan-Hee Lee",3479.0000
"Sung-Hwan Park",3479.0000
"Nicolas Martin",654.0000
"Howard Kaplan",3173.0000
"Nikhil Nair",1772.0000
"Scott Murray",6629.0000
"Gurjeet Singh",1553.0000
"Yadhu Pushpakaran",1298.0000
"Eduard Naf",1050.0000
"He Bai",3207.0000
"Weiser Quay",1020.0000
"Akshay Poolla",851.6667
"W. Thomas",670.0000
"John Byrd",1896.0000
"Nick Papandreou",703.0000
"Rajkumar Janghare",1622.0000
"Soo-Mi Kim",2492.0000
"André Carl van der Merwe",3622.0000
"Carlos Lamela",700.0000
"Jean-Charles Ostoréro",7876.0000
"Kyle Travis Sharp",1914.5000
"Lance Sharp",3829.0000
"Nicci French",1112.0000
"Ramón Correa",1040.0000
"Luis Fernando Calderón",1040.0000
"Jo Seung-Hee",4685.0000
"Barry Jonsberg",650.0000
"Manoj Kalwani",2775.5000
"Rob Lederer",1547.0000
"Ryu Yong-jae",36217.0000
"Huang Dongbin",6756.0000
"Taylan Atalay",12233.0000
"Yan Gao",8698.0000
"Claudia Tan",2603.0000
"Omar Zuhdi",2054.0000
"Katarzyna Gacek",2117.0000
"Nicole Downs",781.0000
"Shouvik Banerjee",3021.0000
"Conor Stechschulte",1542.0000
"Samar Singh Chauhan",3162.0000
"Jay Walker",2262.0000
"Aadesh Raathi",4225.0000
"James Adams",5471.0000
"Ajay Vijayan",822.0000
"Vivek Chandran",822.0000
"Jang-Hwan Jung",1363.0000
"Sami Berat Marçali",2457.0000
"Adarsh Sukumaran",1909.0000
"Davide Lisino",704.0000
"Bruce Brown",2374.5000
"Renzo Podesta",2273.0000
"Thomas Boatwright",2476.0000
"Oleg Bogatov",1052.5000
"Mario Cruz",1605.0000
"Mahesh Iyer",1501.0000
"Yogesh Joshi",1501.0000
"Priyanka Poddar",796.5000
"Francis Thomas",1794.0000
"Prajakt Deshmukh",1723.5000
"Erich Kronte",1989.0000
"Dylanne Corcoran",6771.0000
"Ivo Milazzo",628.0000
Maryam,692.0000
"Tyler Clair Smith",1076.5000
"Nerea Bermúdez",982.0000
"Aryaa M. Mahesh",1095.0000
"Avinash Ghodke",6478.5000
"Vaibhav Vishal",9832.0000
"Fadua El Akchaoui",1186.0000
"Debbie Johnson",1976.0000
"Graeme Muir",2730.0000
"Jerome Olivier",717.0000
"Colin Barrett",6575.0000
"Ahmed Halim",1755.0000
Deepu,4133.0000
"Ryan Wai-Chun Ling",1807.2500
"Aoife H Kelleher",875.0000
"Josh Kim",892.0000
"Anuar Turizhigitov",739.0000
"Daniyar Soltanbayev",739.0000
"Il'yas Toleu",739.0000
"Shika Ogura",11330.0000
"Sarah DeLappe",29332.5000
"Rachel Murphy",909.0000
"Shokhi Banerjee",3713.0000
Muchuan,2214.0000
"T.K. Dayanand",1318.0000
"Franziska K. Müller",899.0000
"Panuwat Denice Inthawat",1602.0000
"Sukhdeep Singh Sandhu",869.0000
"Sheikh Al-Habib",14427.0000
"Nanami Kamon",1809.0000
"Gonzalo Berger",1214.5000
"Tyler Tice",86370.0000
"Posuka Demizu",789.0000
"Janardhan Pasumarthi",1997.0000
"Marie Talon",2154.0000
"Arun Janardhanan",829.0000
